table_schema,table_name,column_name,ordinal_position,data_type,is_nullable
app,rental_audit_log,id,1,bigint,NO
app,rental_audit_log,rental_id,2,bigint,YES
app,rental_audit_log,payment_schedule_id,3,bigint,YES
app,rental_audit_log,transaction_id,4,text,YES
app,rental_audit_log,action,5,text,NO
app,rental_audit_log,old_value,6,jsonb,YES
app,rental_audit_log,new_value,7,jsonb,YES
app,rental_audit_log,changed_by_user_id,8,text,YES
app,rental_audit_log,changed_at,9,timestamp with time zone,NO
app,rental_documents,id,1,bigint,NO
app,rental_documents,rental_id,2,bigint,NO
app,rental_documents,document_name,3,text,NO
app,rental_documents,document_type,4,text,NO
app,rental_documents,file_name,5,text,YES
app,rental_documents,file_url,6,text,YES
app,rental_documents,storage_path,7,text,YES
app,rental_documents,uploaded_by_user_id,8,text,YES
app,rental_documents,uploaded_at,9,timestamp with time zone,NO
app,rental_participants,id,1,bigint,NO
app,rental_participants,rental_id,2,bigint,NO
app,rental_participants,associate_id,3,text,YES
app,rental_participants,associate_name,4,text,YES
app,rental_participants,participant_role,5,text,NO
app,rental_participants,split_percentage,6,numeric,NO
app,rental_participants,gross_commission_amount,7,numeric,YES
app,rental_participants,company_dollar_amount,8,numeric,YES
app,rental_participants,royalty_amount,9,numeric,YES
app,rental_participants,growth_share_amount,10,numeric,YES
app,rental_participants,agent_net_amount,11,numeric,YES
app,rental_participants,counts_toward_cap,12,boolean,NO
app,rental_participants,created_at,13,timestamp with time zone,NO
app,rental_participants,updated_at,14,timestamp with time zone,NO
app,rental_participants,market_center_split,15,numeric,YES
app,rental_participants,agent_split,16,numeric,YES
app,rental_participants,agent_deal_split,17,numeric,YES
app,rental_payment_schedule,id,1,bigint,NO
app,rental_payment_schedule,rental_id,2,bigint,NO
app,rental_payment_schedule,payment_sequence_number,3,integer,NO
app,rental_payment_schedule,due_date,4,date,NO
app,rental_payment_schedule,period_start_date,5,date,YES
app,rental_payment_schedule,period_end_date,6,date,YES
app,rental_payment_schedule,expected_rental_amount,7,numeric,YES
app,rental_payment_schedule,expected_commission_amount,8,numeric,YES
app,rental_payment_schedule,gross_commission,9,numeric,YES
app,rental_payment_schedule,company_dollar,10,numeric,YES
app,rental_payment_schedule,royalty,11,numeric,YES
app,rental_payment_schedule,growth_share,12,numeric,YES
app,rental_payment_schedule,agent_net_amount,13,numeric,YES
app,rental_payment_schedule,payment_status,14,text,NO
app,rental_payment_schedule,paid_date,15,timestamp with time zone,YES
app,rental_payment_schedule,cancelled_date,16,timestamp with time zone,YES
app,rental_payment_schedule,cancelled_reason,17,text,YES
app,rental_payment_schedule,transaction_created,18,boolean,NO
app,rental_payment_schedule,transaction_id,19,text,YES
app,rental_payment_schedule,created_by_user_id,20,text,YES
app,rental_payment_schedule,paid_by_user_id,21,text,YES
app,rental_payment_schedule,cancelled_by_user_id,22,text,YES
app,rental_payment_schedule,created_at,23,timestamp with time zone,NO
app,rental_payment_schedule,updated_at,24,timestamp with time zone,NO
app,rentals,id,1,bigint,NO
app,rentals,rental_number,2,text,NO
app,rentals,market_centre_id,3,text,YES
app,rentals,market_centre_name,4,text,YES
app,rentals,source_listing_id,5,text,YES
app,rentals,listing_number,6,text,YES
app,rentals,property_address,7,text,NO
app,rentals,suburb,8,text,YES
app,rentals,city,9,text,YES
app,rentals,province,10,text,YES
app,rentals,property_reference,11,text,YES
app,rentals,property_notes,12,text,YES
app,rentals,landlord_name,13,text,YES
app,rentals,landlord_surname_or_company,14,text,YES
app,rentals,landlord_id_or_reg_number,15,text,YES
app,rentals,landlord_email,16,text,YES
